Part Name,Part Number,a-yyy,b-nyy,c-yny,d-nny,e-yyn,f-nyn,g-ynn,h-nnn
iPhone 5 16GB AT&T,A1428/A1429,1,2,3,4,5,6,7,88
iPhone 5 32GB AT&T,A1428/A1429,0,0,0,0,0,0,0,0
iPhone 5 64GB AT&T,A1428/A1429,0,0,0,0,0,0,0,0
iPhone 5 16GB Verizon,A1428/A1429,0,0,0,0,0,0,0,0
iPhone 5 32GB Verizon,A1428/A1429,0,0,0,0,0,0,0,0
iPhone 5 64GB Verizon,A1428/A1429,0,0,0,0,0,0,0,0
iPhone 5 16GB T-Mobile,A1428/A1429,0,0,0,0,0,0,0,0
iPhone 5 32GB T-Mobile,A1428/A1429,0,0,0,0,0,0,0,0
iPhone 5 64GB T-Mobile,A1428/A1429,0,0,0,0,0,0,0,0
iPhone 5 16GB s/o,A1428/A1429/A1442,0,0,0,0,0,0,0,0
iPhone 5 32GB s/o,A1428/A1429/A1442,0,0,0,0,0,0,0,0
iPhone 5 64GB s/o,A1428/A1429/A1442,0,0,0,0,0,0,0,0
iPhone 5c 8GB AT&T,A1532,0,0,0,0,0,0,0,0
iPhone 5c 16GB AT&T,A1532,0,0,0,0,0,0,0,0
iPhone 5c 32GB AT&T,A1532,0,0,0,0,0,0,0,0
iPhone 5c 8GB Verizon,A1532,0,0,0,0,0,0,0,0
iPhone 5c 16GB Verizon,A1532,0,0,0,0,0,0,0,0
iPhone 5c 32GB Verizon,A1532,0,0,0,0,0,0,0,0
iPhone 5c 8GB T-Mobile,A1532,0,0,0,0,0,0,0,0
iPhone 5c 16GB T-Mobile,A1532,0,0,0,0,0,0,0,0
iPhone 5c 32GB T-Mobile,A1532,0,0,0,0,0,0,0,0
iPhone 5c 8GB s/o,A1532/A1456/A1507/A1529,0,0,0,0,0,0,0,0
iPhone 5c 16GB s/o,A1532/A1456/A1507/A1529,0,0,0,0,0,0,0,0
iPhone 5c 32GB s/o,A1532/A1456/A1507/A1529,0,0,0,0,0,0,0,0
iPhone 5s 16GB AT&T,A1453/A1533,0,0,0,0,0,0,0,0
iPhone 5s 32GB AT&T,A1453/A1533,0,0,0,0,0,0,0,0
iPhone 5s 64GB AT&T,A1453/A1533,0,0,0,0,0,0,0,0
iPhone 5s 16GB Verizon/Unlocked,A1453/A1533,0,0,0,0,32,0,0,0
iPhone 5s 32GB Verizon/Unlocked,A1453/A1533,0,0,0,0,32,0,0,0
iPhone 5s 64GB Verizon/Unlocked,A1453/A1533,0,0,0,0,32,0,0,0
iPhone 5s 16GB T-Mobile,A1453/A1533,0,0,0,0,0,0,0,0
iPhone 5s 32GB T-Mobile,A1453/A1533,0,0,0,0,0,0,0,0
iPhone 5s 64GB T-Mobile,A1453/A1533,0,0,0,0,0,0,0,0
iPhone 5s 16GB Sprint,A1453/A1457/A1518/A1530/A1533,0,0,0,0,0,0,0,0
iPhone 5s 32GB Sprint,A1453/A1457/A1518/A1530/A1533,0,0,0,0,0,0,0,0
iPhone 5s 64GB Sprint,A1453/A1457/A1518/A1530/A1533,0,0,0,0,0,0,0,0
iPhone 5s 16GB Other,A1453/A1457/A1518/A1530/A1533,0,0,0,0,0,0,0,0
iPhone 5s 32GB Other,A1453/A1457/A1518/A1530/A1533,0,0,0,0,0,0,0,0
iPhone 5s 64GB Other,A1453/A1457/A1518/A1530/A1533,0,0,0,0,0,0,0,0
iPhone SE 16GB AT&T,A1662,0,0,0,0,0,0,0,0
iPhone SE 32GB AT&T,A1662,0,0,0,0,0,0,0,0
iPhone SE 64GB AT&T,A1662,0,0,0,0,0,0,0,0
iPhone SE 128GB AT&T,A1662,0,0,0,0,0,0,0,0
iPhone SE 16GB Verizon/Unlocked,A1662,0,0,0,0,0,0,0,0
iPhone SE 32GB Verizon,A1662,0,0,0,0,0,0,0,0
iPhone SE 64GB Verizon/Unocked,A1662,0,0,0,0,0,0,0,0
iPhone SE 128GB Verizon,A1662,0,0,0,0,0,0,0,0
iPhone SE 16GB T-Mobile,A1662,0,0,0,0,0,0,0,0
iPhone SE 32GB T-Mobile,A1662,0,0,0,0,0,0,0,0
iPhone SE 64GB T-Mobile,A1662,0,0,0,0,0,0,0,0
iPhone SE 128GB T-Mobile,A1662,0,0,0,0,0,0,0,0
iPhone SE 16GB Sprint,A1662/A1723/A1724,0,0,0,0,0,0,0,0
iPhone SE 32GB Sprint,A1662/A1723/A1724,0,0,0,0,0,0,0,0
iPhone SE 64GB Sprint,A1662/A1723/A1724,0,0,0,0,0,0,0,0
iPhone SE 128GB Sprint,A1662/A1723/A1724,0,0,0,0,0,0,0,0
iPhone SE 16GB Other,A1662/A1723/A1724,0,0,0,0,0,0,0,0
iPhone SE 32GB Other,A1662/A1723/A1724,0,0,0,0,0,0,0,0
iPhone SE 64GB Other,A1662/A1723/A1724,0,0,0,0,0,0,0,0
iPhone SE 128GB Other,A1662/A1723/A1724,0,0,0,0,0,0,0,0
iPhone 6 16GB AT&T,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 32GB AT&T,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 64GB AT&T,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 128GB AT&T,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 16GB Verizon/Unlocked,A1586/A1549,70,0,0,0,62,0,0,0
iPhone 6 32GB Verizon/Unlocked,A1586/A1549,70,0,0,0,62,0,0,0
iPhone 6 64GB Verizon/Unlocked,A1586/A1549,80,0,0,0,74,0,0,0
iPhone 6 128GB Verizon/Unlocked,A1586/A1549,80,0,0,0,74,0,0,0
iPhone 6 16GB T-Mobile,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 32GB T-Mobile,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 64GB T-Mobile,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 128GB T-Mobile,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 16GB Sprint,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 32GB Sprint,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 64GB Sprint,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 128GB Sprint,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 16GB Other,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 32GB Other,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 64GB Other,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 128GB Other,A1586/A1549,0,0,0,0,0,0,0,0
iPhone 6 Plus 16GB AT&T,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 64GB AT&T,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 128GB AT&T,A1522/A1524/A1593,0,0,0,0,0,0,0,0
iPhone 6 Plus 16GB Verizon/Unlocked,A1522/A1524/A1593,85,0,0,0,70,0,0,0
