Code,Category,Device Id,Brand Name,Part Number,Part Name,Added,Buyer Code,a_yyy,Max of grade a-yyy,b_nyy,Max of grade b-nyy,c_yny,Max of grade c-yny,d_nny,Max of grade d-nny,e_yyn,Max of grade e-yyn,f_nyn,Max of grade f-nyn,g_ynn,Max of grade g-ynn,h_nnn,Max of grade h-nnn,Released Date,Grand Total
7590,Cell Phone,58D7E121-5E5F-45F9-A748-0B21CAFC9A14,Apple,A1428/A1429,iPhone 5 16GB AT&T,,,0,56,0,23.53,0,23.55,0,23.51,0,31.29,0,23.54,0,23.69,20,23.55,9/21/12,143
7591,Cell Phone,BFF4AAA5-6BFF-4FCD-9275-5EFFA1FB3B1E,Apple,A1428/A1429,iPhone 5 32GB AT&T,,,0,48.49,0,23.57,0,23.54,0,23.53,0,29.31,0,23.54,0,23.66,0,23.57,9/21/12,17
7592,Cell Phone,91F71CBE-004C-4D66-BC08-5A7662BB4C38,Apple,A1428/A1429,iPhone 5 64GB AT&T,,,0,48.49,0,23.52,0,23.55,0,23.52,0,25.82,0,23.56,0,23.7,0,23.51,9/21/12,3
7597,Cell Phone,FEF0AF72-BCEA-4FBF-BF5A-62EE20E983F4,Apple,A1428/A1429,iPhone 5 16GB Verizon,,,0,48.49,0,25.45,0,24.82,0,23.53,0,41.88,0,24.78,0,25.61,0,23.51,9/21/12,165
7598,Cell Phone,894E125E-136E-4C8F-9119-6511670B8482,Apple,A1428/A1429,iPhone 5 32GB Verizon,,,0,48.49,0,23.54,0,23.52,0,23.52,0,41.35,0,23.55,0,25.65,0,23.56,9/21/12,17
7599,Cell Phone,22B3AE3C-8F3D-49F6-B31E-D6CBC53B4785,Apple,A1428/A1429,iPhone 5 64GB Verizon,,,0,48.49,0,23.56,0,23.54,0,23.56,0,41.88,0,23.52,0,25.62,0,23.53,9/21/12,8
7603,Cell Phone,1741514E-99A0-44BE-9342-554EFA02BD43,Apple,A1428/A1429,iPhone 5 16GB T-Mobile,,,0,24.55,0,23.51,0,23.53,0,23.54,0,19.16,0,23.54,0,23.56,0,23.52,9/21/12,45
7604,Cell Phone,6AD2ECCA-3CED-456E-9AE2-C0A978E3E8DF,Apple,A1428/A1429,iPhone 5 32GB T-Mobile,,,0,24.55,0,23.56,0,23.53,0,23.54,0,16.19,0,23.54,0,23.57,0,23.52,9/21/12,3
7605,Cell Phone,11BD1B02-B18F-47CC-B87F-3CEF98C2941F,Apple,A1428/A1429,iPhone 5 64GB T-Mobile,,,0,26.65,0,23.53,0,23.52,0,23.51,0,17.25,0,23.54,0,23.51,0,23.57,9/21/12,4
7609,Cell Phone,1C8772E6-C04D-4D22-81AA-C45A948BBF82,Apple,A1428/A1429/A1442,iPhone 5 16GB s/o,,,0,27.92,0,23.56,0,24.74,0,23.52,0,21.63,0,23.55,0,23.52,0,23.53,9/21/12,782
